code,subject,terms,name,prereqs,postreqs
AFRI 0090,AFRI,"['202110', '202010', '201910', '201810', '201610']",An Introduction to Africana Studies,[],[]
AFRI 0670,AFRI,"['202110', '202010', '201910', '201810', '201610']",Global Black Radicalism,[],[]
AFRI 0800,AFRI,"['202110', '202020']",Theorizing Racism,[],[]
AFRI 0840,AFRI,"['202110', '202010']","Monuments, History, and Memory in the United States",[],[]
AFRI 0850,AFRI,"['202110', '202010']",Queerness in Caribbean Literature,[],[]
AFRI 1110,AFRI,"['202110', '202010', '201910', '201810', '201610']",Voices Beneath the Veil,[],[]
AFRI 1200X,AFRI,['202110'],The Art and Imagination of Josephine Baker,[],[]
AFRI 1420,AFRI,['202110'],Caribbean Imaginations: Writing and Cultural Production,[],[]
AFRI 1920,AFRI,"['202110', '202010', '201910']",Health Inequality in Historical Perspective,[],[]
AFRI 2030,AFRI,['202110'],Sylvia Wynter and the Genres of the Human,[],[]
AFRI 2101,AFRI,"['202110', '202010', '201720']",Methods in Africana Studies,[],[]
AFRI 2970,AFRI,"['202110', '202020', '202010', '201920', '201910', '201820', '201810', '201720', '201620', '201610']",Preliminary Examination Preparation,[],[]
AFRI 2990,AFRI,"['202110', '202020', '202010', '201920', '201910', '201820', '201810', '201720', '201620', '201610']",Thesis Preparation,[],[]
AFRI XLIST,AFRI,"['202110', '202100', '202020', '202010', '201920', '201910', '201810', '201720', '201620', '201610']",Courses of Interest to Concentrators in Africana Studies,[],[]
AFRI 0300,AFRI,['202100'],Performing Ethnography and the Politics of Culture,[],[]
AFRI 1085,AFRI,['202100'],The Black Vote: A Critical Interrogation of a Concept,[],[]
AFRI 1095,AFRI,['202100'],Black Women’s Science Fiction and Fantasy Novels: The Future Then & Now,[],[]
AFRI 1600,AFRI,['202100'],"History, Nation, Popular Culture and Caribbean Politics",[],[]
AFRI 0990,AFRI,"['202020', '201920', '201820', '201720', '201620']",Black Lavender: Black Gay/Lesbian Plays/Dramatic Constructions in the American Theatre,[],[]
AFRI 1030,AFRI,"['202020', '201910', '201820']",Contesting the Carceral State,[],[]
AFRI 1090,AFRI,"['202020', '201820', '201620']",Black Freedom Struggle Since 1945,[],[]
AFRI 1150,AFRI,"['202020', '201920', '201820', '201720']",Afro-Caribbean Philosophy,[],[]
AFRI 1230,AFRI,['202020'],Black Protest Music,[],[]
