code,subject,terms,name,prereqs,postreqs,info
AFRI 0130,AFRI,['202120'],This is America: Reimagining the American Saga,,[],[]
AFRI 0400,AFRI,['202120'],Badmen and Blues Women Explorations in African American Culture,,[],[]
AFRI 1050A,AFRI,"['202120', '201820', '201720', '201620']",Advanced RPM Playwriting,,[],['Third level of RPM Playwriting; for students that have successfully completed RPM Playwriting and Intermediate RPM Playwriting (workshop). Instructor permission.']
AFRI 1050D,AFRI,"['202120', '201820', '201720', '201620']",Intermediate RPM Playwriting,,[],['Second level of RPM Playwriting; for students that want to continue developing their RPM plays or want to begin a new project (workshop).']
AFRI 1050E,AFRI,"['202120', '201820', '201720', '201620']",RPM Playwriting,,[],['Research-to-Performance Method (RPM) Playwriting guides students through the process of developing new plays that are informed by scholarly research (workshop).']
AFRI 1075,AFRI,['202120'],"Providence Housing Ecosystem, Development, Displacement and Gentrification",,[],"['This course will exam what are the influences and power dynamics that shape where we live. We will focus on Providence. From the perspective of marginalized communities often with limited power, we will consider how to change these dynamics. We will consider how government planning policies and housing speculators, impact housing stability, create value and shape the environment in which we live. We will consider the relationship-based channels which encourage social cohesion across neighborhoods and/or social disruption and upheaval caused by market-rate housing and development policies, as well as the discourse on housing and development that influence housing speculation forces.']"
AFRI 1100C,AFRI,"['202120', '201720']",Slavery and Empire in the United States,,[],"['Between the American Revolution and the Civil War, the United States grew into the largest slaveholding society in the modern world. This course focuses upon this history to examine the centrality of slavery and empire in the making of the United States. Crucial to the formation of racial capitalism, U.S. slavery’s growth was driven forward by unprecedented economic transformation and territorial conquest. This slavery-based expansion was defined by settler warfare that remade the United States into a vast, continental empire. Yet, in the face of unprecedented violence, enslaved people themselves brought about the end of slavery. Through an examination of this history and its legacies, the course will also introduce a range of sources documenting histories of resistance and subversion.']"
AFRI 1135,AFRI,['202120'],Reading with Black Caribbean Women Writers,,[],[]
AFRI 1205,AFRI,['202120'],"Racial Passing in Literature, Life, and Film",,[],"['This class is a mid-range seminar for those who wish to understand the lived history of racial passing, its representation in literature and film and mass culture, and the implications of passing as a social practice and representational phenomenon for the history of race and the struggle against white supremacy.']"
AFRI 1270,AFRI,['202120'],"Slavery, Democracy, and Racial Violence in the Americas",,[],[]
AFRI 1330,AFRI,['202120'],Africana Studies Junior Seminar,AFRI\xa00090,[],"['This junior seminar course is designed to support students’ growth as academic writers and will prepare them to better complete their culminating senior thesis projects. While specifically geared towards Africana Studies concentrators, the class is open to any undergraduate student who has successfully completed AFRI\xa00090: An Introduction to Africana Studies and at least four semesters of coursework overall towards the Bachelor’s degree. Course materials will delve deeply into the history, spaces, peoples and cultures of the African Diaspora, exploring a selection of critical writings, performance pieces, fiction and non-fiction works by leading scholars and artists.']"
AFRI 1360,AFRI,"['202120', '201820', '201720', '201620']","Africana Studies: Knowledge, Texts and Methodology",,[],"['This course will explore the issues of Africana Studies as a discipline by engaging in a series of critical readings of the central texts, which laid the protocols of the discipline. The course will also raise issues of knowledge production and methodologies. This course is a senior capstone seminar. Open to all senior Africana Studies concentrators; others by instructor permission only. Enrollment limited to 25.']"
AFRI 1430,AFRI,['202120'],"Lincoln in the Archive: Material Culture, Representation, and Race",,[],[]
AFRI 1600,AFRI,"['202120', '202100']","Caribbean Popular Culture: Reggae, Dancehall, and Calypso",,[],"['Whether interrogating the aesthetics and moralizing philosophies that compose reggae music, examining the manifestations of skin bleaching depicted in dancehall culture, or mapping the global routes calypso music occupies with an agenda to theorize Caribbean cultures—the course centers popular music as sites of politics, pleasure, clashes, and identity-making.']"
AFRI 2002,AFRI,"['202120', '201820', '201620']",Theories of Africana Thought: Literary and Expressive Cultures,,[],"['A preoccupation of Africana Studies involves the central, highly contested role of the notion of what constitutes black culture in the modern world. To what degree can we claim aesthetic and other distinctions between black cultures in the Diaspora and other western cultural practices and expressive forms? What role did enslavement, forced migration and segregation play in shaping Africana culture in the modern west? These cultural debates play a central role in literary, musical, philosophical, aesthetic, historical and sociological analyses of the culture of people of African descent frame this graduate course.']"
AFRI 2040,AFRI,['202120'],Introduction to Black Women’s Studies,,[],"[""Black women's studies is an interdisciplinary field encompassing philosophical, sociological, legal, political, artistic, and historical writing and thinking by Black women. While a good deal of work in the field has centered on concerns that are often viewed as feminist in nature, the field as a whole is not merely concerned with feminism but rather the ways that the inclusion of Black women as writers, thinkers, and actors in various academic disciplines, political movements, and cultural settings often forces a fundamental shift of underlying paradigms and sheds light on specific historical concerns. This class will focus on the United States and provide an overview of the field by contextualizing its development both chronologically and thematically. For each period we will look at the categories of politics, art, beauty, health, feminism, activism and intellectual production.""]"
AFRI 2970,AFRI,"['202120', '202110', '201820', '201810', '201720', '201710', '201620']",Preliminary Examination Preparation,,[],['For graduate students who have met the tuition requirement and are paying the registration fee to continue active enrollment while preparing for a preliminary examination.']
AFRI 2990,AFRI,"['202120', '202110', '201820', '201810', '201720', '201710', '201620']",Thesis Preparation,,[],['For graduate students who have met the residency requirement and are continuing research on a full time basis.']
AFRI XLIST,AFRI,"['202120', '202110', '202100', '201810', '201720', '201710', '201620']",Courses of Interest to Concentrators in Africana Studies,,[],['']
AFRI 0090,AFRI,"['202110', '201810', '201710']",An Introduction to Africana Studies,,[],"['This course introduces students to the vibrant and contested field of Africana Studies by critically exploring and analyzing the links and disjunctures in the cultural, political, and intellectual practices and experiences of people of African descent throughout the African diaspora. Beginning with a critical overview of the history, theoretical orientations, and multiple methodological strategies of the discipline, the course is divided into three thematic units that examine intellectuals, politics, and movements; identity construction and formation; and literary, cultural, and aesthetic theories and practices in the African diaspora.']"
AFRI 0670,AFRI,"['202110', '201810', '201710']",Global Black Radicalism,,[],"['The decade from the mid-Sixties until the mid-Seventies witnessed the rise of Black Radicalism as a global phenomenon. The emergence of Black Power in the US, Brazil and the Caribbean, the consolidation of liberation struggles in Portuguese Africa and the rise of a Black Consciousness trend in Apartheid South Africa all represent key moments. What led young activists to embrace “Black Power?” What led to the emergence of Marxist movements in Portuguese Africa? What events in the Caribbean gave ascendancy to radical tendencies? And what forces contributed to the decline of these movements? This course seeks to answer these questions.']"
AFRI 0800,AFRI,['202110'],Theorizing Racism,,[],"['Since the eruption of Black Lives Matter protest across the United States in response to the murder of George Floyd at the hands of Minneapolis police, the acknowledgement and denunciation of systemic racism in mainstream discourse has significantly increased. As more and more people agree that racism is a contemporary problem, an old question emerges: What do people mean when they say “racism”? This lecture course situates mainstream discourse about racism within racism’s contentious conceptual history, critically engages a dynamic interdisciplinary debate about the meaning of racism, and imagines what a it would take to achieve a world without racism.']"
AFRI 0840,AFRI,['202110'],"Monuments, History, and Memory in the United States",,[],"['In the wake of the killing of George Floyd, monuments tied to the violent histories of slavery, colonialism, and white supremacy have received renewed interest and debate. Protestors and individuals have defaced, toppled, and petitioned for the removal of Confederate monuments and statues to the white male power elite. This symbolic retributive violence and sometimes ritual care signals a challenge to the long-lived monument. This reading course explores public monuments and the ways in which artists and communities have negotiated history and the politics of memory and remembrance in the United States. We will evaluate the meaning and purpose of monuments that define American public spaces, investigating the problematic narratives and historic controversies surrounding such objects. The removal of monuments asks us to question whose histories have been forgotten, ignored, or suppressed, and what monumental justice might look like.']"
AFRI 0850,AFRI,['202110'],Queerness in Caribbean Literature,,[],"['This course examines 20th & 21st century Caribbean Literature with an emphasis on how histories of gender and sexuality contest and confirm understandings of diaspora, personhood, and colonialism.']"
