code,name,prereqs
AFRI 0130,This is America: Reimagining the American Saga,
AFRI 0400,Badmen and Blues Women Explorations in African American Culture,
AFRI 1050A,Advanced RPM Playwriting,
AFRI 1050D,Intermediate RPM Playwriting,
AFRI 1050E,RPM Playwriting,
AFRI 1075,"Providence Housing Ecosystem, Development, Displacement and Gentrification",
AFRI 1100C,Slavery and Empire in the United States,
AFRI 1135,Reading with Black Caribbean Women Writers,
AFRI 1205,"Racial Passing in Literature, Life, and Film",
AFRI 1270,"Slavery, Democracy, and Racial Violence in the Americas",
AFRI 1330,Africana Studies Junior Seminar,AFRI\xa00090
AFRI 1360,"Africana Studies: Knowledge, Texts and Methodology",
AFRI 1430,"Lincoln in the Archive: Material Culture, Representation, and Race",
AFRI 1600,"Caribbean Popular Culture: Reggae, Dancehall, and Calypso",
AFRI 2002,Theories of Africana Thought: Literary and Expressive Cultures,
AFRI 2040,Introduction to Black Women’s Studies,
AFRI 2970,Preliminary Examination Preparation,
AFRI 2990,Thesis Preparation,
AFRI XLIST,Courses of Interest to Concentrators in Africana Studies,
AFRI 0090,An Introduction to Africana Studies,
AFRI 0670,Global Black Radicalism,
AFRI 0800,Theorizing Racism,
AFRI 0840,"Monuments, History, and Memory in the United States",
AFRI 0850,Queerness in Caribbean Literature,
AFRI 1110,Voices Beneath the Veil,
AFRI 1200X,The Art and Imagination of Josephine Baker,
AFRI 1420,Caribbean Imaginations: Writing and Cultural Production,
AFRI 1920,Health Inequality in Historical Perspective,
AFRI 2030,Sylvia Wynter and the Genres of the Human,
AFRI 2101,Methods in Africana Studies,
AFRI 0300,Performing Ethnography and the Politics of Culture,
AFRI 1085,The Black Vote: A Critical Interrogation of a Concept,
AFRI 1095,Black Women’s Science Fiction and Fantasy Novels: The Future Then & Now,
AFRI 0500,"Globalization, Media and Culture",
AFRI 1060Z,"Race, Sexuality, and Mental Disability History",
AFRI 0550,African American Health Activism from Emancipation to AIDS,
AFRI 0610,Black Student Protest from Jim Crow to the Present,
AFRI 0880,Hip Hop Music and Cultures,
AFRI 0990,Black Lavender: Black Gay/Lesbian Plays/Dramatic Constructions in the American Theatre,
AFRI 1020C,The Afro-Luso-Brazilian Triangle,
AFRI 1030,Contesting the Carceral State,
AFRI 1060E,West African Writers and Political Kingdom,
AFRI 1090,Black Freedom Struggle Since 1945,
AFRI 1100B,"The Caribbean: Cultures, Politics, Histories and Literature",
AFRI 1150,Afro-Caribbean Philosophy,
AFRI 2104,Theorizing the Black Diaspora,
AFRI 1040,"Decolonized Bodies, Spirit Bodies: Tracing the Indigenous Knowledge of Africans",
AFRI 1060U,An Introduction to Africa,
AFRI 1060W,"Policy, Culture and Discourse that Shape Health and Access to Healthcare",
AFRI 1060X,African Development,
AFRI 1190A,"Framing Haiti: History, Culture, Politics + Literature",
AFRI 1200,Gospel Music from the Church to the Streets,
AFRI 1968,1968: A Year in Review,
AFRI 2001,Theories of Africana Thought: Intellectual History and Critical Theory,
AFRI 2010,Black Transnational Feminism,
AFRI 0760A,Rastafari Studies,
AFRI 1100A,Comparative Identity Politics in Africa,
AFRI 0210,Afro Latin Americans and Blackness in the Americas,
AFRI 1010C,"Race, Gender, Ethics and Environmental Justice",
AFRI 1050V,Rhythm and Resistance,
AFRI 1210,Afro-Brazilians and the Brazilian Polity,
AFRI 1050W,Transnational Hispaniola: Haiti and the Dominican Republic,
AFRI 1050X,"Slavery, Materiality, and Memorialization",
AFRI 2102,Interdisciplinary Methods and Africana Studies,
SIGN 0200,"American Sign Language I, II",SIGN\xa00100SIGN\xa00100
SIGN 0400,American Sign Language IV,SIGN\xa00300
SIGN 0100,"American Sign Language I, II",SIGN\xa00200
SIGN 0300,American Sign Language III,SIGN\xa00200
SIGN 0500,American Sign Language V,SIGN\xa00400
SIGN 0600,American Sign Language VI,
AMST 0170E,Black to the Future: Race as Science Fiction,
AMST 0190N,Health as Morality in American Life,
AMST 0192L,"Making Metropolitan ""Man”: The Politics of Human Being in Modern Urban Space",
AMST 0192M,Martinique and the Black Radical Imagination,
AMST 1611O,Race and Early American Film: The Birth of an Industry,
AMST 1700Q,Latinx Digital Humanities,
AMST 1800,Honors Seminar,
AMST 1900P,Essaying Culture,
AMST 1902K,Collections and Colonialism,
AMST 1903A,"Missing: Museums, Memorials, & Gentrification",
AMST 1905Z,Eyes on the Prize: Literary Fiction as Cultural Capital,
AMST 1907B,Indigenous Peoples and Places: How Lines Are Drawn,
AMST 2220Y,Aesthetics of Relation: Minoritarian Gestures in the Visual Realm,
AMST 2221,Museum Exhibitions,
AMST 2525,American Studies MA Capstone,
AMST 2990,Thesis Preparation,
AMST 0191E,"Objects as Texts: Materializing Race, Gender, and Sexuality",
AMST 0310,Theory and Practice of Engaged Scholarship (SOC 0310),SOC\xa00310
AMST 1200X,The Art and Imagination of Josephine Baker (AFRI 1200X),AFRI\xa01200
AMST 1600L,"Nationalizing Narratives: Race, Nationalism, and the American Novel (ENGL 1710M)",ENGL\xa01710
AMST 1600M,Contemporary Black Women's Literature (ENGL 1711L),ENGL\xa01711
AMST 1600N,Caribbean Literature (ENGL 1762M),ENGL\xa01762
AMST 1600P,Star Studies and Golden Age Hollywood (MCM 1204Y),MCM\xa01204
AMST 1610A,American Advertising: History and Consequences,
AMST 1613C,First Nations: The People and Cultures of Native North America to 1800 (HIST 1512),HIST\xa01512
AMST 1700N,"Public Memory: Testimony, Memorial, Ritual",
AMST 1901B,Form Matters: Contemporary Short Fiction,
AMST 1903D,Health Inequality in Historical Perspective (AFRI 1920),AFRI\xa01920
AMST 1906U,Culture as History: Making the 20th Century United States,
AMST 1906X,Black Queer Life,
AMST 1906Y,Bodies at Work: Disability and Capitalism (STS 1700R),STS\xa01700
AMST 1906Z,"Senior Seminar in Science, Technology and Society (STS 1900)",STS\xa01900
AMST 2010,Introduction to Interdisciplinary Methods,
AMST 2220Z,Currents in Popular Music: Race & Sound,
AMST 2221A,"Accessioning, Archiving, and Antiracism: Critical and Creative Approaches",
AMST 2401E,Retouch: The Imaginaries of Repair (HMAN 2401E),HMAN\xa02401
AMST 2520,American Studies: Professional Issues in American Studies,
AMST 1500B,"Broadway Modern: Race, Gender, Class, and the American Musical",
AMST 1110,Race and Gender in Black Women’s Speculative Fiction,
AMST 1200A,"Scraps of the Archive: Race, Theory, Performance",
AMST 1905G,Literature and the Problem of Poverty (ENGL 1710K),ENGL\xa01710
AMST 1906L,"Books, Material and Digital",
AMST 0160,The Lower East Side and Beyond: American Jewish History 1880-2000 (JUDS 0066),
AMST 0170D,Musical Youth Cultures,
AMST 0192F,Whose Land? Tracing History and Memory in the Native Northeast,
AMST 0192I,Mapping Desire: Queer Spaces in Contemporary Literature,
AMST 1090,Black Freedom Struggle Since 1945 (AFRI 1090),AFRI\xa01090
AMST 1510,Museum Collecting and Collections,
AMST 1611M,"Trauma and the Shame of the Unspeakable: The Holocaust, American Slavery, and Childhood Sexual Abuse",
AMST 1906V,"Virtual Bodies: Play, Power, Performance",
AMST 2220T,Slavery in the Recent American Imagination,
AMST 2220U,"The Fugitivity of Slowness, Stillness, and Stasis (HMAN 2401D)",
AMST 2600,Intro to Digital Humanities,
AMST 2650,Introduction to Public Humanities,
AMST 2680,Semester Practicum in Public Humanities,
AMST 2684,Creative & Cultural Entrepreneurship in the Commons,
AMST 2970C,Rethinking the Civil Rights Movement (HIST 2970C),HIST\xa02970
AMST 0070,An Introduction to Africana Studies (AFRI 0090),AFRI\xa00090
AMST 0192G,Japanese American Incarceration: Past & Present Encounters with the Racial State,
AMST 0192H,Blurred and Faded: Disrupting the Color-Line Through Photography,
AMST 0192J,"Religion, Politics, and Culture in America, 1865 - Present (HIST 0253)",HIST\xa00253
AMST 1600C,"The Anti-Trafficking Savior Complex: Saints, Sinners, and Modern-Day Slavery",
AMST 1600F,Blacks and Jews in American History and Culture (JUDS 1753),JUDS\xa01753
AMST 1600K,Memory and Forgetting in Popular Culture,
AMST 1605P,Channeling Race: Television and Race in America (MCM 1505P),MCM\xa01505
AMST 1611D,Reading New York (ENGL 1711D),ENGL\xa01711
AMST 1700P,Making Music American: Critical Heritage Studies,
AMST 1901D,Motherhood in Black and White,
AMST 2020E,Introduction to Interdisciplinary American Studies,
AMST 2220B,"Culture, Politics and the Metropolitan Built Environment",
AMST 2220V,Photography on the Picket Line: Unlearning Imperial Formations of Photography (MCM 2120P),
AMST 2540,Methods in Public Humanities,
AMST 2630,Public Amnesias and Their Discontents: Theories and Practices of Remembering and Forgetting,
AMST 2685,Critical Approaches to Preservation and Cultural Heritage,
AMST 0190O,Expressway Worlds: Landscape and Life on the Margins of U.S. Highways,
AMST 0190Q,"Archival Interventions: Tracing Knowledge, Power, and Memory through the Archives",
AMST 0192E,"20th Century American Borderlands Place, Politics, and Memories of Transition",
AMST 1100X,"Black Speculative Fiction:World-Making + Alternative Universes,Science Fiction + Fantasy(AFRI 1100X)",AFRI\xa01100
AMST 1600I,American Literary Naturalism: Form and Economics at the Fin de Siècle,
AMST 1600J,"Believe It or Not: Mediating the Unthinkable, Past and Present",
AMST 1611A,Making America: Twentieth-Century U.S. Immigrant/Ethnic Literature,
AMST 1800A,The Cultural and Social Life of the Built Environment (URBN 1870N),URBN\xa01870
AMST 1901M,American Roots Music (MUSC 1932),
AMST 1902W,Queering Oral History: Theory and Practice of Building Alternative Archives,
AMST 1903Z,"Shrine, House or Home: Rethinking the House Museum Paradigm",
AMST 1904H,"The Teen Age: Youth, Society and Culture in Early Cold War America",
AMST 2220D,Museums in Their Communities,
AMST 2220I,"Skin Deep: Reading Race, Reading Form",
AMST 2220J,Introduction to Critical Race Theory,
AMST 2220L,Cultural Studies Rubrics In American Studies,
AMST 2220R,Popular Music Studies,
AMST 2220S,"Diaspora, Displacement, Transnationalism (HIST 2971P)",HIST\xa02971
AMST 2688,Digital Archives and Digital Publics,
AMST 2690,Management of Cultural Institutions,
